"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
0,18.2,-33.959292382719,-33.9283093274544,-26.508431606957,-31.7415080380969,-30.4045929117654,-22.1660356338642,-20.1494612105069
0,18.3,-33.5601941861881,-33.7848844235933,-26.4156827280181,-31.6635117178195,-30.26612326604,-22.0427465652383,-20.0623934690232
0,18.4,-33.1838674722564,-33.6451437731675,-26.325700559244,-31.5861460538943,-30.1311172145009,-21.9221305164389,-19.9769707621507
0,18.5,-32.8277709289,-33.5089278346739,-26.2383727429931,-31.5093834705406,-29.9994363071301,-21.8041601734722,-19.8931602136016
0,18.6,-32.4897088601398,-33.3760866548018,-26.1535917491769,-31.4331969055327,-29.8709493241288,-21.6888077167624,-19.8109283848612
0,18.7,-32.1677714384317,-33.2464791323325,-26.0712546096348,-31.3575598210328,-29.7455317885759,-21.5760448882401,-19.7302414944355
0,18.8,-31.8602877400411,-33.1199723503619,-25.99126267804,-31.282446210935,-29.623065521671,-21.4658430533058,-19.6510656053196
0,18.9,-31.56578835655,-32.9964409697607,-25.9135214118356,-31.2078306051043,-29.5034382359591,-21.3581732582875,-19.5733667846733
0,19,-31.282975271437,-32.8757666775268,-25.8379401732057,-31.1336880708675,-29.3865431625196,-21.2530062839085,-19.497111239215
0,19.1,-31.010697314554,-32.7578376843629,-25.764432046522,-31.0599942120909,-29.2722787086061,-21.1503126951898,-19.4222654294253
0,19.2,-30.7479299483743,-32.6425482664245,-25.6929136700846,-30.9867251661507,-29.1605481426546,-21.0500628881392,-19.3487961652789
0,19.3,-30.4937584557797,-32.529798346738,-25.6233050802936,-30.913857599078,-29.0512593039475,-20.9522271335176,-19.2766706858924
0,19.4,-30.2473638280438,-32.4194931122822,-25.5555295666673,-30.8413686991333,-28.9443243345418,-20.8567756179162,-19.2058567251872
0,19.5,-30.0080108191896,-32.3115426631677,-25.489513536357,-30.7692361690428,-28.839659431345,-20.7636784823389,-19.1363225654078
0,19.6,-29.7750377566236,-32.2058616907395,-25.4251863870108,-30.6974382171036,-28.7371846164633,-20.6729058584453,-19.0680370801116
0,19.7,-29.5478477900556,-32.1023691817798,-25.362480387013,-30.6259535473451,-28.6368235241554,-20.5844279025809,-19.0009697680454
0,19.8,-29.3259013298123,-32.0009881462919,-25.3013305622701,-30.5547613489146,-28.5385032029077,-20.498214827697,-18.9350907791498
0,19.9,-29.1087094778436,-31.9016453666226,-25.241674588843,-30.4838412848333,-28.4421539313026,-20.4142369332439,-18.8703709337782
0,20,-28.8958282944352,-31.8042711659206,-25.1834526908293,-30.4131734802564,-28.3477090464969,-20.3324646331052,-18.8067817360812
