"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
0,15.6,-15.3960851819908,-20.2248722149602,-17.8325361006353,-29.0337094378676,-12.3120730167545,-12.933441869509,-15.650930393021,-11.5433530887567
0,15.7,-15.411692562966,-20.6017186045132,-17.9157501710289,-29.4783878230746,-12.4317333714017,-13.044221812681,-15.8785831294457,-11.6110120641765
0,15.8,-15.4243126087602,-20.9862738102616,-17.9949074087072,-29.6184065027498,-12.5485449784589,-13.1534459022862,-16.1089579630244,-11.6785957169655
0,15.9,-15.4341931444989,-21.3793003940771,-18.0702328951519,-29.4490302039067,-12.6626482553692,-13.2612212543493,-16.3422449438738,-11.7460906016712
0,16,-15.4415663138035,-21.7816116779899,-18.1419327415184,-29.0247608242007,-12.7741783837387,-13.3676492892853,-16.5786355468274,-11.8134840732108
0,16.1,-15.4466488322672,-22.1940764596858,-18.2101958847427,-28.4293840103375,-12.8832653553736,-13.4728260809734,-16.8183236662698,-11.8807642171653
0,16.2,-15.4496424187744,-22.6176236863858,-18.2751956921088,-27.7422284361132,-12.9900340558374,-13.5768426771331,-17.0615064890139,-11.9479197084925
0,16.3,-15.4507343571139,-23.0532467421597,-18.337091395385,-27.021742927429,-13.0946043764511,-13.6797853937523,-17.308385253928,-12.0149396257556
0,16.4,-15.450098148677,-23.5020068011073,-18.396029373666,-26.3046727655919,-13.1970913473387,-13.7817360860054,-17.5591659024838,-12.0818132402832
0,16.5,-15.4478942243459,-23.9650343836751,-18.4521443021053,-25.6115010128926,-13.2976052855108,-13.8827723978282,-17.8140596193415,-12.1485297939411
0,16.6,-15.4442706900051,-24.4435277649643,-18.5055601818676,-24.952251773124,-13.39625195312,-13.9829679920812,-18.0732832563188,-12.2150782749372
0,16.7,-15.4393640854968,-24.9387461277799,-18.5563912649067,-24.3307788791514,-13.4931327219727,-14.08239276303,-18.3370596263821,-12.2814471979503
0,16.8,-15.4333001413817,-25.4519941827296,-18.6047428856064,-23.7475103034304,-13.5883447411563,-14.1811130326888,-18.6056176463066,-12.3476243926023
0,16.9,-15.42619452164,-25.9845931664616,-18.6507122099025,-23.2010848045518,-13.6819811052868,-14.2791917324208,-18.8791922969723,-12.4135968026592
0,17,-15.4181535435521,-26.537830332063,-18.6943889112434,-22.689289831283,-13.774131021406,-14.3766885710456,-19.1580243583396,-12.4793502971981
0,17.1,-15.4092748685244,-27.1128747499249,-18.7358557816212,-22.2095837513991,-13.8648799729954,-14.4736601905893,-19.4423598612982,-12.5448694941884
0,17.2,-15.3996481596541,-27.7106407179218,-18.7751892849189,-21.7593778813806,-13.9543098799254,-14.570160310699,-19.7324491799085,-12.610137596416
0,17.3,-15.3893557034384,-28.3315704122359,-18.812460058943,-21.3361819621904,-14.0424992534558,-14.6662398626538,-20.0285456639454,-12.6751362393562
0,17.4,-15.3784729942945,-28.9752936979065,-18.847733371749,-20.9376729725006,-14.129523345636,-14.7619471138165,-20.330903681673,-12.7398453504292
0,17.5,-15.3670692815324,-29.6401052346311,-18.881069537194,-20.5617215520926,-14.2154542926538,-14.8573277832974,-20.6397759046458,-12.8042430190068
0,17.6,-15.3552080791573,-30.3221803857733,-18.9125242940643,-20.2063955549939,-14.3003612518366,-14.9524251495333,-20.955409617831,-12.8683053765556
0,17.7,-15.3429476394227,-31.0144441869324,-18.9421491526119,-19.8699518036316,-14.384310532139,-15.0472801504256,-21.2780417767575,-12.9320064863811
0,17.8,-15.3303413914487,-31.7050445307375,-18.9699917118826,-19.5508222802633,-14.4673657180534,-15.141931476627,-21.607892455511,-12.9953182425571
0,17.9,-15.3174383464846,-32.3755317940128,-18.9960959508264,-19.2475982218796,-14.5495877869656,-15.2364156585187,-21.9451562315121,-13.0582102777852
0,18,-15.3042834715676,-32.9992221359207,-19.0205024958355,-18.9590139970914,-14.6310352200416,-15.3307671473769,-22.2899909312181,-13.1206498801131
0,18.1,-15.290918033426,-33.5408868712219,-19.0432488670513,-18.683931735518,-14.7117641067857,-15.4250183911861,-22.6425030115305,-13.1826019186439
0,18.2,-15.2773799145104,-33.9595958433405,-19.0643697055205,-18.421327164465,-14.7918282434526,-15.5191999055245,-23.0027286724672,-13.2440287785974
0,18.3,-15.2637039030357,-34.2162346316128,-19.083896983043,-18.1702768190491,-14.8712792255234,-15.6133403399102,-23.3706095886333,-13.3048903063156
0,18.4,-15.2499219588728,-34.2845917699887,-19.1018601963541,-17.9299466348151,-14.9501665344856,-15.7074665399739,-23.7459619181815,-13.3651437650621
0,18.5,-15.2360634570745,-34.1607950060594,-19.1182865471004,-17.6995818507561,-15.0285376191689,-15.8016036057902,-24.1284370192321,-13.424743802719
0,18.6,-15.2221554107392,-33.8648475954306,-19.133201108912,-17.4784981130004,-15.1064379719042,-15.8957749466804,-24.517472118764,-13.4836424327568
0,18.7,-15.2082226748284,-33.4331300319,-19.1466269827308,-17.2660736562848,-15.18391119978,-15.9900023327765,-24.91222911908,-13.5417890301245
0,18.8,-15.1942881324642,-32.907105948302,-19.1585854414357,-17.0617424405488,-15.2609990912754,-16.0843059436135,-25.3115199322356,-13.5991303439821
0,18.9,-15.1803728651346,-32.3243710086596,-19.1690960646896,-16.8649881270886,-15.3377416785478,-16.1787044140024,-25.713717429221,-13.6556105294717
0,19,-15.1664963081361,-31.7144354351973,-19.1781768648414,-16.6753387889624,-15.4141772956559,-16.2732148774149,-26.1166526166921,-13.7111712009894
0,19.1,-15.1526763924945,-31.0982598164791,-19.1858444046273,-16.4923622616185,-15.4903426329925,-16.3678530070986,-26.5175014703975,-13.7657515096734
0,19.2,-15.1389296745055,-30.4896360672019,-19.1921139073389,-16.3156620508901,-15.5662727881981,-16.4626330551256,-26.9126694988672,-13.8192882480565
0,19.3,-15.1252714539552,-29.8970275432381,-19.1969993600573,-16.1448737259469,-15.6420013138206,-16.5575678895624,-27.2976890294141,-13.871715985036
